probability_model,tail_model,price_model,target_market,n_races,n_years,median_tv,mean_tv,median_mae,median_log_rmse,median_js,median_raw_mae,mean_support_share,all_arguments_supported_race_share,median_common_tv,median_common_log_rmse,median_trimmed_tv,median_trimmed_log_rmse,mean_common_support_share
stage_temperature,prelec,M-R,exacta,17324,7,0.26639190718043515,0.2704862570414124,0.005297349019626912,1.0457813973875867,0.05229561991019728,0.007255389613241962,0.7728573058909586,0.18731239898406835,0.2349062980319025,0.8094221055515081,0.25531027761649727,0.9398617304552073,0.7629240601973515
stage_temperature,prelec,M-R,quinella,17736,7,0.19550298679020572,0.2000530793489305,0.007740894577730546,0.845829333726378,0.03070950165323647,0.010604120211275067,0.8674548095429354,0.28991880920162383,0.18497850856442216,0.7115777384473745,0.18530094939259503,0.7411910092074662,0.8487763691290416
stage_temperature,prelec,M-R,trifecta,3130,7,0.3257805669512358,0.3266730322049195,0.0013504097571088154,0.9951366051170181,0.07554295867210925,0.0018498433674467908,0.4536814343803162,0.1,0.24330790216664316,0.6573746209586913,0.31477478798156705,0.9081886467533773,0.4466316980853722
stage_temperature,prelec,M-R,trio,14840,7,0.290609168718091,0.2898684628508716,0.004410050191326831,1.080145304217981,0.061564178078712284,0.006040727029782236,0.7097794136456536,0.1431266846361186,0.24958555834686624,0.7926995035996025,0.2799337894324653,0.9665717101994422,0.6813953274937102
stage_temperature,prelec,M-S2,exacta,17324,7,0.13255007605947547,0.14225855291107373,0.002639307380255679,0.4814494059600606,0.014867237650480772,0.0036145945380144017,0.9852306603482718,0.8936735165088894,0.13067715057998242,0.4633136863380005,0.13101644862010786,0.46558569158960994,0.7629240601973515
stage_temperature,prelec,M-S2,quinella,17736,7,0.1340897570152249,0.1432671167709437,0.005283372567035661,0.4674992899755209,0.015094938625175835,0.007237308007906743,0.9727807048299267,0.8813712223725756,0.13062259614169086,0.4513109124939021,0.13288409857851557,0.45930395507047417,0.8487763691290416
stage_temperature,prelec,M-S2,trifecta,3130,7,0.2143479479575764,0.21885062728706076,0.0008806135812232551,0.5824178801658279,0.03424953546519351,0.0012062921097277708,0.9885054562051367,0.7220447284345048,0.1943208339089535,0.5321379004804424,0.21180180291421075,0.5626170538417119,0.4466316980853722
stage_temperature,prelec,M-S2,trio,14840,7,0.23167509022216648,0.23530076709716705,0.003519967946416778,0.755816726573167,0.03974841855160107,0.004821418897751995,0.816712732460711,0.3127358490566038,0.2149958059267368,0.6675705112267305,0.22813050938614757,0.7159238557850214,0.6813953274937102
stage_temperature,prelec,M-S3,trifecta,3130,7,0.15958052671642495,0.1707165143987937,0.0006450313769219014,0.4743076234720509,0.01991056795713692,0.0008836066935644137,0.9926430092803894,0.9424920127795527,0.1508598046205918,0.4339458077019587,0.15864165458800783,0.4672066357600553,0.4466316980853722
stage_temperature,prelec,M-S3,trio,14840,7,0.15994895458383515,0.1692235098597475,0.00239551898472463,0.5313305176184426,0.020676529300620042,0.00328275561167605,0.9721910967514067,0.9056603773584906,0.15390694548383116,0.4954671283839402,0.1590410703463235,0.5212303147108859,0.6813953274937102
